source_video,version,codec,crf,file_path,file_size_bytes,file_size_mb,total_detections,avg_confidence,unique_objects,object_counts,baseline_detections,matched_box_count,avg_box_iou,avg_box_accuracy_iou,box_recall_iou50,box_precision_iou50,sample_frame
Bouncing Ball.mp4,original,original,,data/input_videos/Bouncing Ball.mp4,8310272,7.925,842,0.6144,orange; sports ball,orange: 338; sports ball: 504,842,842,1.0,1.0,1.0,1.0,/Users/calebfree/Documents/Development/Comp590/CV_Project/outputs/annotated/Bouncing Ball/original_sample.jpg
Bouncing Ball.mp4,high,h264,18,data/compressed/Bouncing Ball/compressed_high.mp4,9609427,9.164,838,0.6157,orange; sports ball,orange: 333; sports ball: 505,842,813,0.9973,0.963,0.9656,0.9702,/Users/calebfree/Documents/Development/Comp590/CV_Project/outputs/annotated/Bouncing Ball/high_sample.jpg
Bouncing Ball.mp4,medium,h264,28,data/compressed/Bouncing Ball/compressed_medium.mp4,1062223,1.013,796,0.6099,orange; sports ball,orange: 280; sports ball: 516,842,752,0.9949,0.8886,0.8931,0.9447,/Users/calebfree/Documents/Development/Comp590/CV_Project/outputs/annotated/Bouncing Ball/medium_sample.jpg
Bouncing Ball.mp4,low,h264,38,data/compressed/Bouncing Ball/compressed_low.mp4,104303,0.099,687,0.5813,orange; sports ball,orange: 128; sports ball: 559,842,620,0.9888,0.7281,0.7363,0.9025,/Users/calebfree/Documents/Development/Comp590/CV_Project/outputs/annotated/Bouncing Ball/low_sample.jpg
Busy Intersection.mp4,original,original,,data/input_videos/Busy Intersection.mp4,29231466,27.877,20336,0.5199,bicycle; bus; car; motorcycle; person; traffic light; train; truck; umbrella; zebra,bicycle: 48; bus: 1705; car: 9603; motorcycle: 2040; person: 3806; traffic light: 104; train: 1; truck: 3019; umbrella: 1; zebra: 9,20336,20336,1.0,1.0,1.0,1.0,/Users/calebfree/Documents/Development/Comp590/CV_Project/outputs/annotated/Busy Intersection/original_sample.jpg
Busy Intersection.mp4,high,h264,18,data/compressed/Busy Intersection/compressed_high.mp4,34608695,33.005,20248,0.5201,backpack; bicycle; bus; car; motorcycle; person; traffic light; truck; zebra,backpack: 1; bicycle: 48; bus: 1677; car: 9602; motorcycle: 2020; person: 3769; traffic light: 104; truck: 3017; zebra: 10,20336,19208,0.9801,0.9269,0.9445,0.9486,/Users/calebfree/Documents/Development/Comp590/CV_Project/outputs/annotated/Busy Intersection/high_sample.jpg
Busy Intersection.mp4,medium,h264,28,data/compressed/Busy Intersection/compressed_medium.mp4,10114257,9.646,19758,0.5204,backpack; bicycle; bus; car; motorcycle; person; traffic light; train; truck; zebra,backpack: 1; bicycle: 34; bus: 1626; car: 9404; motorcycle: 1887; person: 3674; traffic light: 133; train: 1; truck: 2988; zebra: 10,20336,17944,0.956,0.8475,0.8824,0.9082,/Users/calebfree/Documents/Development/Comp590/CV_Project/outputs/annotated/Busy Intersection/medium_sample.jpg
Busy Intersection.mp4,low,h264,38,data/compressed/Busy Intersection/compressed_low.mp4,2629331,2.508,17423,0.5099,bicycle; bus; car; motorcycle; person; traffic light; train; truck; zebra,bicycle: 2; bus: 1608; car: 8475; motorcycle: 1298; person: 2600; traffic light: 108; train: 4; truck: 3312; zebra: 16,20336,14979,0.9216,0.6872,0.7366,0.8597,/Users/calebfree/Documents/Development/Comp590/CV_Project/outputs/annotated/Busy Intersection/low_sample.jpg
Walking Group.mp4,original,original,,data/input_videos/Walking Group.mp4,8962578,8.547,4338,0.7063,backpack; handbag; person,backpack: 2181; handbag: 4; person: 2153,4338,4338,1.0,1.0,1.0,1.0,/Users/calebfree/Documents/Development/Comp590/CV_Project/outputs/annotated/Walking Group/original_sample.jpg
Walking Group.mp4,high,h264,18,data/compressed/Walking Group/compressed_high.mp4,19539812,18.635,4350,0.7038,backpack; handbag; person; umbrella,backpack: 2195; handbag: 3; person: 2151; umbrella: 1,4338,4196,0.9838,0.9528,0.9673,0.9646,/Users/calebfree/Documents/Development/Comp590/CV_Project/outputs/annotated/Walking Group/high_sample.jpg
Walking Group.mp4,medium,h264,28,data/compressed/Walking Group/compressed_medium.mp4,6406783,6.11,4373,0.6981,backpack; handbag; person; umbrella,backpack: 2186; handbag: 6; person: 2176; umbrella: 5,4338,4136,0.9714,0.9277,0.9534,0.9458,/Users/calebfree/Documents/Development/Comp590/CV_Project/outputs/annotated/Walking Group/medium_sample.jpg
Walking Group.mp4,low,h264,38,data/compressed/Walking Group/compressed_low.mp4,1795701,1.713,4399,0.6836,backpack; dog; handbag; person; umbrella,backpack: 2234; dog: 1; handbag: 5; person: 2155; umbrella: 4,4338,4004,0.9439,0.8734,0.923,0.9102,/Users/calebfree/Documents/Development/Comp590/CV_Project/outputs/annotated/Walking Group/low_sample.jpg
